2025-05-21 11:59:09.548 | WARNING  | __main__:main:16 - Processing your request...
2025-05-21 11:59:09.549 | INFO     | app.agent.base:run:140 - Executing step 1/20
2025-05-21 11:59:10.212 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:10.212 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:11.548 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:11.548 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:12.889 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:12.890 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:16.944 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:16.944 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:20.212 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:20.212 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:25.199 | ERROR    | app.llm:ask_tool:756 - OpenAI API error: Error code: 401 - {'error': {'code': 'authentication_error', 'message': 'Invalid Anthropic API Key', 'type': 'invalid_request_error', 'param': None}}
2025-05-21 11:59:25.199 | ERROR    | app.llm:ask_tool:758 - Authentication failed. Check API key.
2025-05-21 11:59:25.201 | INFO     | app.tool.mcp:disconnect:175 - Disconnected from all MCP servers
